"configuration","t100_p0","t200_p0","t300_p0","t400_p0","t500_p0","t600_p0","t700_p0","t800_p0","t900_p0","t1000_p0","t100_p70","t200_p70","t300_p70","t400_p70","t500_p70","t600_p70","t700_p70","t800_p70","t900_p70","t1000_p70","t100_p90","t200_p90","t300_p90","t400_p90","t500_p90","t600_p90","t700_p90","t800_p90","t900_p90","t1000_p90"
"t100_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t200_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t300_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t400_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t500_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t600_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t700_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t800_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t900_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
"t1000_p0",1,1,1,1,1,1,1,1,1,1,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.850010808882887,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216,0.56473959835216
