"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"UniProtKB:Q9UJU2:714910e9","LEF1","Q9UJU2","UniProtKB","Q9UJU2","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Gly residues","Gly residues",1,14,"1-14","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:6b143641","LEF1","Q9UJU2","UniProtKB","Q9UJU2","functional_region","functional_region","other_functional_region","grin3d_annotation_hierarchy_v1:other_functional_region","Region","CTNNB1-binding","CTNNB1-binding",1,62,"1-62","EXACT","EXACT","ECO:0000250","","","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"InterPro:IPR027397:1:069cbf17","LEF1","Q9UJU2","InterPro","IPR027397","domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily","homologous_superfamily","Catenin binding domain superfamily","This superfamily represents the catenin binding domain. Proteins containing this domain include cadherins, desmocollins, desmoglein and transcription factor 7-like proteins [[cite:PUB00020853], [cite:PUB00011781], [cite:PUB00025936], [cite:PUB00064970]]. Cadherins and catenins play important roles in the adherents junctions in animal cells. The cadherin-catenin complex is responsible for coupling Ca(2+)-dependent intercellular junctions with actin dynamics and signalling pathways. Desmosomal cadherins are TM protein components of desmosomes (for review, see [[cite:PUB00013742], [cite:PUB00013934], [cite:PUB00013935]]), whose extracellular cadherin repeats are responsible for adhesion and whose intracellular regions interact with intermediate filaments via desmosomal plaque proteins plakoglobin, plakobilin and desmoplakin. They are believed to play a wider role in regulation of epithelial differentiation [[cite:PUB00013934]]. Two sub-families of desmosomal cadherin have been identified, desmocollin (DSC) and desmoglein (DSG).",1,65,"1-65","EXACT","EXACT","database_signature_match","InterPro","IPR027397","cathgene3d:G3DSA:4.10.900.10","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR027397/","","","2026-09-17T19:53:22Z"
"UniProtKB:Q9UJU2:79c4871a","LEF1","Q9UJU2","UniProtKB","Q9UJU2","structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region","Region","Disordered","Disordered",1,104,"1-104","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"InterPro:IPR024940:1:623501ef","LEF1","Q9UJU2","InterPro","IPR024940","domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family","family","Transcription factor TCF/LEF","Members of this family of HMG box containing factors play an essential role in the Wnt/Wingless signalling cascade. They are known to associate with beta-catenin in the nucleus to mediate Wnt signaling [[cite:PUB00069213], [cite:PUB00069267]]. This family exist in vertebrates, Drosophila melanogaster and Caenorhabditis elegans, and includes transcription factor 7, transcription factor 7-like 1 and 2, lymphoid enhancer-binding factor 1 and proteins pangolin and pop-1 [[cite:PUB00056864]].",1,393,"1-393","EXACT","EXACT","database_signature_match","InterPro","IPR024940","panther:PTHR10373","GO:0016055","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR024940/","","","2026-09-17T19:53:22Z"
"InterPro:IPR013558:1:6ea26d57","LEF1","Q9UJU2","InterPro","IPR013558","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","CTNNB1 binding, N-teminal","This region tends to appear at the N terminus of proteins also containing DNA-binding HMG (high mobility group) boxes ([interpro:IPR009071]) and appears to bind the armadillo repeat of CTNNB1 (beta-catenin), forming a stable complex. Signalling by Wnt through TCF/LCF is involved in developmental patterning, induction of neural tissues, cell fate decisions and stem cell differentiation [[cite:PUB00020946]]. Isoforms of HMG T-cell factors lacking the N-terminal CTNNB1-binding domain cannot fulfil their role as transcriptional activators in T-cell differentiation [[cite:PUB00020853], [cite:PUB00020874]].",9,213,"9-213","EXACT","EXACT","database_signature_match","InterPro","IPR013558","pfam:PF08347","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR013558/","","","2026-09-17T19:53:22Z"
"UniProtKB:Q9UJU2:0e612fc1","LEF1","Q9UJU2","UniProtKB","Q9UJU2","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Basic and acidic residues","Basic and acidic residues",24,45,"24-45","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:7337c76e","LEF1","Q9UJU2","UniProtKB","Q9UJU2","modification","ptm","cross_link","grin3d_annotation_hierarchy_v1:cross_link","Cross-link","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)",27,27,"27-27","EXACT","EXACT","ECO:0000250","","","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:6a0c1b57","LEF1","Q9UJU2","UniProtKB","Q9UJU2","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Basic and acidic residues","Basic and acidic residues",82,98,"82-98","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:79c98b8a","LEF1","Q9UJU2","UniProtKB","Q9UJU2","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine","Phosphoserine",132,132,"132-132","EXACT","EXACT","ECO:0007744","PubMed","19690332","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
