"gene","cna_type","eligibility_class","n_events","n_subjects","fraction_of_type_events","median_coding_fraction","median_affected_exons"
"PTEN","GAIN","partial_localizable_testable",7,6,0.225806451612903,0.224152191894127,2
"PTEN","GAIN","partial_localizable_but_untestable",0,0,0,,
"PTEN","GAIN","partial_noncontiguous_exons",0,0,0,,
"PTEN","GAIN","broad_structurally_unreliable",0,0,0,,
"PTEN","GAIN","whole_gene_evidence_only",24,24,0.774193548387097,1,9
"PTEN","HETDEL","partial_localizable_testable",88,81,0.854368932038835,0.394127377998346,4
"PTEN","HETDEL","partial_localizable_but_untestable",0,0,0,,
"PTEN","HETDEL","partial_noncontiguous_exons",0,0,0,,
"PTEN","HETDEL","broad_structurally_unreliable",0,0,0,,
"PTEN","HETDEL","whole_gene_evidence_only",15,15,0.145631067961165,1,9
"PTEN","HOMDEL","partial_localizable_testable",35,34,0.875,0.341604631927213,4
"PTEN","HOMDEL","partial_localizable_but_untestable",0,0,0,,
"PTEN","HOMDEL","partial_noncontiguous_exons",0,0,0,,
"PTEN","HOMDEL","broad_structurally_unreliable",0,0,0,,
"PTEN","HOMDEL","whole_gene_evidence_only",5,5,0.125,1,9
"PTEN","ALL_CNA","partial_localizable_testable",130,104,0.747126436781609,0.341604631927213,4
"PTEN","ALL_CNA","partial_localizable_but_untestable",0,0,0,,
"PTEN","ALL_CNA","partial_noncontiguous_exons",0,0,0,,
"PTEN","ALL_CNA","broad_structurally_unreliable",0,0,0,,
"PTEN","ALL_CNA","whole_gene_evidence_only",44,44,0.252873563218391,1,9
