"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint"
"TP53","cluster_0001","248","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.00398406374501992,0.00398406374501992,0.0159362549800797,0.0199203187250996,0.0278884462151394,0.0278884462151394,0.0278884462151394
"TP53","cluster_0002","239;244;245;248","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,FALSE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.00398406374501992,0.00398406374501992,0.0159362549800797,0.0199203187250996,0.0278884462151394,0.0278884462151394,0.0278884462151394
"TP53","cluster_0003","239;244;245;248;273;277;282","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",239,282,43,24.3327664888315,0.00398406374501992,0.00398406374501992,0.0159362549800797,0.0199203187250996,0.0278884462151394,0.0278884462151394,0.0278884462151394
"TP53","cluster_0004","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,19,24,15,"91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.0119521912350598,0.00398406374501992,0.0717131474103586,0.0199203187250996,0.127490039840637,0.0278884462151394,0.0278884462151394
"TP53","cluster_0005","239;248;273","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,FALSE,TRUE,7,7,3,"239;248;273",239,273,34,9.10653507103553,0.171314741035857,0.00398406374501992,0.780876494023904,0.0199203187250996,0.944223107569721,0.0278884462151394,0.0278884462151394
"TP53","cluster_0006","135;136;239;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",135,282,147,15.3793277811483,0.250996015936255,0.00398406374501992,0.956175298804781,0.0199203187250996,0.98804780876494,0.0278884462151394,0.0278884462151394
"TP53","cluster_0007","91;171;175;244;245","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,8,8,5,"91;171;175;244;245",91,245,154,13.9722246260214,0.701195219123506,0.00398406374501992,1,0.0199203187250996,1,0.0278884462151394,0.0278884462151394
"TP53","cluster_0008","244;245;248","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.00398406374501992,0.00796812749003984,0.0159362549800797,0.0597609561752988,0.0278884462151394,0.0956175298804781,0.0278884462151394
"TP53","cluster_0009","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,22,28,18,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",72,282,210,73.4290371310968,0.00398406374501992,0.0159362549800797,0.0159362549800797,0.107569721115538,0.0278884462151394,0.167330677290837,0.0278884462151394
"TP53","cluster_0010","239;244;245;248;273;277;282;306;327","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,15,16,9,"239;244;245;248;273;277;282;306;327",239,327,88,64.744755053981,0.00398406374501992,0.207171314741036,0.0159362549800797,0.884462151394422,0.0278884462151394,0.968127490039841,0.0278884462151394
