"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:Q9UJU2:0bb3994a","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00267","","","","","","",""
"UniProtKB:Q9UJU2:79c4871a","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:78226f65","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:6d1e7edd","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:675b784b","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:714910e9","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:0e612fc1","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:6a0c1b57","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:4135fe65","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:Q9UJU2:79c98b8a","LEF1","Q9UJU2","UniProtKB","Q9UJU2","feature_evidence","ECO:0007744","PubMed","19690332","19690332","10.1126/scisignal.2000007","Quantitative phosphoproteomic analysis of T cell receptor signaling reveals system-wide modulation of protein-protein interactions.","Sci. Signal.","2009","Mayya V.;Lundgren D.H.;Hwang S.-I.;Rezaul K.;Wu L.;Eng J.K.;Rodionov V.;Han D.K.","https://pubmed.ncbi.nlm.nih.gov/19690332/"
