"protein","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint"
"TP53","cluster_0001","248","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.00199600798403194,0.00199600798403194,0.0139720558882236,0.0119760479041916,0.0219560878243513,0.0219560878243513,0.0219560878243513
"TP53","cluster_0002","239;244;245;248","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,FALSE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.00199600798403194,0.00199600798403194,0.0139720558882236,0.0119760479041916,0.0219560878243513,0.0219560878243513,0.0219560878243513
"TP53","cluster_0003","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,22,28,18,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",72,282,210,73.4290371310968,0.00199600798403194,0.00199600798403194,0.0139720558882236,0.0119760479041916,0.0219560878243513,0.0219560878243513,0.0219560878243513
"TP53","cluster_0004","91;135;136;171;175;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,18,21,12,"91;135;136;171;175;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.0279441117764471,0.00199600798403194,0.19560878243513,0.0119760479041916,0.29940119760479,0.0219560878243513,0.0219560878243513
"TP53","cluster_0005","239;248;273","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,FALSE,TRUE,7,7,3,"239;248;273",239,273,34,9.10653507103553,0.147704590818363,0.00199600798403194,0.726546906187625,0.0119760479041916,0.894211576846307,0.0219560878243513,0.0219560878243513
"TP53","cluster_0006","135;136;239;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,12,13,7,"135;136;239;248;273;277;282",135,282,147,15.3793277811483,0.233532934131737,0.00199600798403194,0.902195608782435,0.0119760479041916,0.980039920159681,0.0219560878243513,0.0219560878243513
"TP53","cluster_0007","91;171;175;244;245","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,FALSE,TRUE,8,8,5,"91;171;175;244;245",91,245,154,13.9722246260214,0.718562874251497,0.00199600798403194,1,0.0119760479041916,1,0.0219560878243513,0.0219560878243513
"TP53","cluster_0008","244;245;248","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.00199600798403194,0.00798403193612774,0.0139720558882236,0.0578842315369262,0.0219560878243513,0.0898203592814371,0.0219560878243513
"TP53","cluster_0009","239;244;245;248;273;277;282;306;327","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,15,16,9,"239;244;245;248;273;277;282;306;327",239,327,88,64.744755053981,0.00199600798403194,0.173652694610778,0.0139720558882236,0.794411177644711,0.0219560878243513,0.932135728542914,0.0219560878243513
"TP53","cluster_0010","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327","1D;3D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,23,30,20,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327",72,327,255,118.969142553857,0.00199600798403194,0.736526946107784,0.0139720558882236,1,0.0219560878243513,1,0.0219560878243513
"TP53","cluster_0011","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,20,26,17,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,42.6209890664213,0.00598802395209581,0.00399201596806387,0.0359281437125748,0.0439121756487026,0.0698602794411178,0.0578842315369262,0.0578842315369262
"TP53","cluster_0012","273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,3,"273;277;282",273,282,9,10.2477570716718,0.0139720558882236,0.00798403193612774,0.0878243512974052,0.0578842315369262,0.163672654690619,0.0898203592814371,0.0898203592814371
"TP53","cluster_0013","175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,5,5,3,"175;244;245",175,245,70,7.8782067756565,0.952095808383233,0.00798403193612774,1,0.0578842315369262,1,0.0898203592814371,0.0898203592814371
"TP53","cluster_0014","135;136;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,4,"135;136;277;282",135,282,147,12.1192066572033,0.918163672654691,0.00998003992015968,1,0.0738522954091816,1,0.115768463073852,0.115768463073852
"TP53","cluster_0015","282","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"282",282,282,0,0,0.0479041916167665,0.0479041916167665,0.323353293413174,0.333333333333333,0.473053892215569,0.473053892215569,0.473053892215569
