"protein","n_sim","plddt_threshold","has_plddt","lesion_file","coordinate_file","label","random_seed","min_subjects","min_events","calibration_fraction","alpha","profile","status","results_dir"
"TP53",100,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials100_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials100_plddt0"
"TP53",200,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials200_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials200_plddt0"
"TP53",300,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials300_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials300_plddt0"
"TP53",400,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials400_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials400_plddt0"
"TP53",500,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials500_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials500_plddt0"
"TP53",600,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials600_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials600_plddt0"
"TP53",700,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials700_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials700_plddt0"
"TP53",800,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials800_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials800_plddt0"
"TP53",900,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials900_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials900_plddt0"
"TP53",1000,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials1000_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials1000_plddt0"
"TP53",100,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials100_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials100_plddt70"
"TP53",200,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials200_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials200_plddt70"
"TP53",300,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials300_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials300_plddt70"
"TP53",400,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials400_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials400_plddt70"
"TP53",500,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials500_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials500_plddt70"
"TP53",600,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials600_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials600_plddt70"
"TP53",700,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials700_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials700_plddt70"
"TP53",800,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials800_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials800_plddt70"
"TP53",900,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials900_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials900_plddt70"
"TP53",1000,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials1000_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials1000_plddt70"
"TP53",100,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials100_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials100_plddt90"
"TP53",200,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials200_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials200_plddt90"
"TP53",300,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials300_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials300_plddt90"
"TP53",400,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials400_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials400_plddt90"
"TP53",500,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials500_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials500_plddt90"
"TP53",600,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials600_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials600_plddt90"
"TP53",700,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials700_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials700_plddt90"
"TP53",800,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials800_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials800_plddt90"
"TP53",900,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials900_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials900_plddt90"
"TP53",1000,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/TP53_mutations/input_files/tp53_alphafold_v6_coordinates.csv","TP53_trials1000_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/TP53_trials1000_plddt90"
"PTEN",100,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials100_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials100_plddt0"
"PTEN",200,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials200_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials200_plddt0"
"PTEN",300,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials300_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials300_plddt0"
"PTEN",400,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials400_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials400_plddt0"
"PTEN",500,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials500_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials500_plddt0"
"PTEN",600,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials600_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials600_plddt0"
"PTEN",700,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials700_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials700_plddt0"
