"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"UniProtKB:P04637:38d4eedc","TP53","P04637","UniProtKB","P04637","functional_region","functional_region","other_functional_region","grin3d_annotation_hierarchy_v1:other_functional_region","Region","Transcription activation (acidic)","Transcription activation (acidic)",1,44,"1-44","EXACT","EXACT","","","","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"UniProtKB:P04637:4b91feae","TP53","P04637","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with HRMT1L2","Interaction with HRMT1L2",1,83,"1-83","EXACT","EXACT","ECO:0000269","PubMed","15186775","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"UniProtKB:P04637:176b874d","TP53","P04637","UniProtKB","P04637","interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region","Region","Interaction with CCAR2","Interaction with CCAR2",1,320,"1-320","EXACT","EXACT","ECO:0000269","PubMed","25732823","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"InterPro:IPR002117:1:05506d0f","TP53","P04637","InterPro","IPR002117","domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family","family","p53 tumour suppressor family","This entry also includes the p53 family members p63 [[cite:PUB00059264]], p73 [[cite:PUB00059265]] and transcription factor cep-1 [[cite:PUB00059266]]. The p53 tumour suppressor [[cite:PUB00004096], [cite:PUB00000596], [cite:PUB00004490], [cite:PUB00001893], [cite:PUB00002729]] is a protein found in increased amounts in a wide variety of transformed cells. It is also detectable in many proliferating non-transformed cells, but it is undetectable or present at low levels in resting cells. It is frequently mutated or inactivated in many types of cancer. p53 seems to act as a tumour suppressor in some, but probably not all, tumour types. p53 has been implicated in cell cycle regulation, particularly in the monitoring of genomic DNA integrity prior to replication; for this reason it has been dubbed 'guardian of the genome'. p53 can be divided into different functional domains: an N-terminal transactivation domain ([interpro:IPR013872]), a proline-rich domain, a DNA-binding domain ([interpro:IPR008967]) which contains a conserved site ([interpro:IPR057064]), a tetramerisation domain ([interpro:IPR010991]) and a C-terminal regulatory region.",3,369,"3-369","EXACT","EXACT","database_signature_match","InterPro","IPR002117","panther:PTHR11447;prints:PR00386","GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0006915","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR002117/","","","2026-09-16T17:12:32Z"
"InterPro:IPR013872:1:07484190","TP53","P04637","InterPro","IPR013872","domain","domain","transactivation_domain","grin3d_annotation_hierarchy_v1:transactivation_domain","domain","p53, transactivation domain","The binding of the p53 transactivation domain by regulatory proteins regulates p53 transcription activation. This entry is comprised of a single amphipathic α helix and contains a highly conserved motif [[cite:PUB00013998], [cite:PUB00033305]]. The p53 tumour suppressor [[cite:PUB00004096], [cite:PUB00000596], [cite:PUB00004490], [cite:PUB00001893], [cite:PUB00002729]] is a protein found in increased amounts in a wide variety of transformed cells. It is also detectable in many proliferating non-transformed cells, but it is undetectable or present at low levels in resting cells. It is frequently mutated or inactivated in many types of cancer. p53 seems to act as a tumour suppressor in some, but probably not all, tumour types. p53 has been implicated in cell cycle regulation, particularly in the monitoring of genomic DNA integrity prior to replication; for this reason it has been dubbed 'guardian of the genome'. p53 can be divided into different functional domains: an N-terminal transactivation domain ([interpro:IPR013872]), a proline-rich domain, a DNA-binding domain ([interpro:IPR008967]) which contains a conserved site ([interpro:IPR057064]), a tetramerisation domain ([interpro:IPR010991]) and a C-terminal regulatory region.",6,30,"6-30","EXACT","EXACT","database_signature_match","InterPro","IPR013872","pfam:PF08563","GO:0005515","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR013872/","","","2026-09-16T17:12:32Z"
"PDBe-KB:interface:55ac767b","TP53","P04637","PDBe-KB/SIFTS","Q09472","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Histone acetyltransferase p300","UniProt-indexed contact residues observed in PDB structures; partner type UNP",8,58,"8-8;9-9;10-10;11-11;13-13;17-17;18-18;19-19;21-21;22-22;25-25;26-26;27-27;28-28;30-30;31-31;35-35;36-36;37-37;38-38;39-39;40-40;41-41;43-43;44-44;45-45;46-46;47-47;49-49;50-50;51-51;52-52;53-53;54-54;56-56;58-58","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","2K8F;2MZD","partner:Q09472;PDB:2K8F;PDB:2MZD","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"UniProtKB:P04637:0d4ff566","TP53","P04637","UniProtKB","P04637","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by HIPK4","Phosphoserine; by HIPK4",9,9,"9-9","EXACT","EXACT","ECO:0000269","PubMed","18022393","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"PDBe-KB:interface:67adfd36","TP53","P04637","PDBe-KB/SIFTS","P24928","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with DNA-directed RNA polymerase II subunit RPB1","UniProt-indexed contact residues observed in PDB structures; partner type UNP",12,285,"12-12;14-14;15-15;16-16;19-19;20-20;21-21;23-23;30-30;39-39;61-61;117-117;118-118;119-119;121-121;123-123;285-285","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","6XRE","partner:P24928;PDB:6XRE","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:60eca4d1","TP53","P04637","PDBe-KB/SIFTS","Q13315","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Serine-protein kinase ATM","UniProt-indexed contact residues observed in PDB structures; partner type UNP",14,18,"14-14;15-15;16-16;17-17;18-18","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","8OXM;8OXO","partner:Q13315;PDB:8OXM;PDB:8OXO","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:18fa9a7d","TP53","P04637","PDBe-KB/SIFTS","P19388","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with DNA-directed RNA polymerases I, II, and III subunit RPABC1","UniProt-indexed contact residues observed in PDB structures; partner type UNP",14,19,"14-14;17-17;18-18;19-19","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","6XRE","partner:P19388;PDB:6XRE","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
